,date,weekday,weekday_int,d,event
0,2011-01-29,Saturday,1,d_1,no event
1,2011-01-30,Sunday,2,d_2,no event
2,2011-01-31,Monday,3,d_3,no event
3,2011-02-01,Tuesday,4,d_4,no event
4,2011-02-02,Wednesday,5,d_5,no event
5,2011-02-03,Thursday,6,d_6,no event
6,2011-02-04,Friday,7,d_7,no event
7,2011-02-05,Saturday,1,d_8,no event
8,2011-02-06,Sunday,2,d_9,SuperBowl
9,2011-02-07,Monday,3,d_10,no event
10,2011-02-08,Tuesday,4,d_11,no event
11,2011-02-09,Wednesday,5,d_12,no event
12,2011-02-10,Thursday,6,d_13,no event
13,2011-02-11,Friday,7,d_14,no event
14,2011-02-12,Saturday,1,d_15,no event
15,2011-02-13,Sunday,2,d_16,no event
16,2011-02-14,Monday,3,d_17,no event
17,2011-02-15,Tuesday,4,d_18,no event
18,2011-02-16,Wednesday,5,d_19,no event
19,2011-02-17,Thursday,6,d_20,no event
20,2011-02-18,Friday,7,d_21,no event
21,2011-02-19,Saturday,1,d_22,no event
22,2011-02-20,Sunday,2,d_23,no event
23,2011-02-21,Monday,3,d_24,no event
24,2011-02-22,Tuesday,4,d_25,no event
25,2011-02-23,Wednesday,5,d_26,no event
26,2011-02-24,Thursday,6,d_27,no event
27,2011-02-25,Friday,7,d_28,no event
28,2011-02-26,Saturday,1,d_29,no event
29,2011-02-27,Sunday,2,d_30,no event
30,2011-02-28,Monday,3,d_31,no event
31,2011-03-01,Tuesday,4,d_32,no event
32,2011-03-02,Wednesday,5,d_33,no event
33,2011-03-03,Thursday,6,d_34,no event
34,2011-03-04,Friday,7,d_35,no event
35,2011-03-05,Saturday,1,d_36,no event
36,2011-03-06,Sunday,2,d_37,no event
37,2011-03-07,Monday,3,d_38,no event
38,2011-03-08,Tuesday,4,d_39,no event
39,2011-03-09,Wednesday,5,d_40,no event
40,2011-03-10,Thursday,6,d_41,no event
41,2011-03-11,Friday,7,d_42,no event
42,2011-03-12,Saturday,1,d_43,no event
43,2011-03-13,Sunday,2,d_44,no event
44,2011-03-14,Monday,3,d_45,no event
45,2011-03-15,Tuesday,4,d_46,no event
46,2011-03-16,Wednesday,5,d_47,no event
47,2011-03-17,Thursday,6,d_48,no event
48,2011-03-18,Friday,7,d_49,no event
49,2011-03-19,Saturday,1,d_50,no event
50,2011-03-20,Sunday,2,d_51,no event
51,2011-03-21,Monday,3,d_52,no event
52,2011-03-22,Tuesday,4,d_53,no event
53,2011-03-23,Wednesday,5,d_54,no event
54,2011-03-24,Thursday,6,d_55,no event
55,2011-03-25,Friday,7,d_56,no event
56,2011-03-26,Saturday,1,d_57,no event
57,2011-03-27,Sunday,2,d_58,no event
58,2011-03-28,Monday,3,d_59,no event
59,2011-03-29,Tuesday,4,d_60,no event
60,2011-03-30,Wednesday,5,d_61,no event
61,2011-03-31,Thursday,6,d_62,no event
62,2011-04-01,Friday,7,d_63,no event
63,2011-04-02,Saturday,1,d_64,no event
64,2011-04-03,Sunday,2,d_65,no event
65,2011-04-04,Monday,3,d_66,no event
66,2011-04-05,Tuesday,4,d_67,no event
67,2011-04-06,Wednesday,5,d_68,no event
68,2011-04-07,Thursday,6,d_69,no event
69,2011-04-08,Friday,7,d_70,no event
70,2011-04-09,Saturday,1,d_71,no event
71,2011-04-10,Sunday,2,d_72,no event
72,2011-04-11,Monday,3,d_73,no event
73,2011-04-12,Tuesday,4,d_74,no event
74,2011-04-13,Wednesday,5,d_75,no event
75,2011-04-14,Thursday,6,d_76,no event
76,2011-04-15,Friday,7,d_77,no event
77,2011-04-16,Saturday,1,d_78,no event
78,2011-04-17,Sunday,2,d_79,no event
79,2011-04-18,Monday,3,d_80,no event
80,2011-04-19,Tuesday,4,d_81,no event
81,2011-04-20,Wednesday,5,d_82,no event
82,2011-04-21,Thursday,6,d_83,no event
